TradeName,ScientificName,Matched_Kaggle_Name,Match_Score,Chemical Class,Therapeutic Class,sideEffect,substitute,use,Scientific_clean,Matched_clean,fuzzy_token,Confidence
HYDROSONE 100 mg lyophilisate for solution for injection,HYDROCORTISONE SODIUM SUCCINATE,hydrocortisone sodium 100mg injection,2.069746494293213,Glucocorticoids,RESPIRATORY,"Injection site reactions (pain, swelling, redness) ; Mood changes ; Increased risk of infection ; Weight gain",Unicort 100mg Injection ; Wosone 100mg Injection ; Multicort 100mg Injection ; Biosone 100mg Injection ; H Cort 100mg Injection,Severe allergic reactions ; Treatment of Allergic conditions ; Treatment of Cancer ; Treatment of Skin disorders ; Treatment of Eye disorders,hydrocortisone sodium succinate,hydrocortisone sodium 100mg injection,61.76470588235294,Medium
IKOTREF 100 mg Solution For Injection,HYDROCORTISONE SODIUM SUCCINATE,hydrocortisone sodium 100mg injection,2.069746494293213,Glucocorticoids,RESPIRATORY,"Injection site reactions (pain, swelling, redness) ; Mood changes ; Increased risk of infection ; Weight gain",Unicort 100mg Injection ; Wosone 100mg Injection ; Multicort 100mg Injection ; Biosone 100mg Injection ; H Cort 100mg Injection,Severe allergic reactions ; Treatment of Allergic conditions ; Treatment of Cancer ; Treatment of Skin disorders ; Treatment of Eye disorders,hydrocortisone sodium succinate,hydrocortisone sodium 100mg injection,61.76470588235294,Medium
IKOTREF 250 mg Solution For Injection,HYDROCORTISONE SODIUM SUCCINATE,hydrocortisone sodium 100mg injection,2.069746494293213,Glucocorticoids,RESPIRATORY,"Injection site reactions (pain, swelling, redness) ; Mood changes ; Increased risk of infection ; Weight gain",Unicort 100mg Injection ; Wosone 100mg Injection ; Multicort 100mg Injection ; Biosone 100mg Injection ; H Cort 100mg Injection,Severe allergic reactions ; Treatment of Allergic conditions ; Treatment of Cancer ; Treatment of Skin disorders ; Treatment of Eye disorders,hydrocortisone sodium succinate,hydrocortisone sodium 100mg injection,61.76470588235294,Medium
SOLU CORTEF AOV 250 mg powder and solvent for solution for injection,HYDROCORTISONE SODIUM SUCCINATE,hydrocortisone sodium 100mg injection,2.069746494293213,Glucocorticoids,RESPIRATORY,"Injection site reactions (pain, swelling, redness) ; Mood changes ; Increased risk of infection ; Weight gain",Unicort 100mg Injection ; Wosone 100mg Injection ; Multicort 100mg Injection ; Biosone 100mg Injection ; H Cort 100mg Injection,Severe allergic reactions ; Treatment of Allergic conditions ; Treatment of Cancer ; Treatment of Skin disorders ; Treatment of Eye disorders,hydrocortisone sodium succinate,hydrocortisone sodium 100mg injection,61.76470588235294,Medium
SOLU CORTEF Act-O-Vial 100 mg powder and solvent for solution for injection,HYDROCORTISONE SODIUM SUCCINATE,hydrocortisone sodium 100mg injection,2.069746494293213,Glucocorticoids,RESPIRATORY,"Injection site reactions (pain, swelling, redness) ; Mood changes ; Increased risk of infection ; Weight gain",Unicort 100mg Injection ; Wosone 100mg Injection ; Multicort 100mg Injection ; Biosone 100mg Injection ; H Cort 100mg Injection,Severe allergic reactions ; Treatment of Allergic conditions ; Treatment of Cancer ; Treatment of Skin disorders ; Treatment of Eye disorders,hydrocortisone sodium succinate,hydrocortisone sodium 100mg injection,61.76470588235294,Medium
PIGMANORM,"HYDROQUINONE,HYDROCORTISONE,TRETINOIN",stayhappi hydroquinone+mometasone+tretinoin cream,3.209343433380127,,DERMA,"Application site reactions (burning, irritation, itching and redness)",Ultrabrite Cream ; Elosone-HT Cream ; Skinshine Cream ; Twinkle Cream ; Melabest Cream,Treatment of Melasma,"hydroquinone,hydrocortisone,tretinoin",stayhappi hydroquinone+mometasone+tretinoin cream,62.7906976744186,Medium
ATARAX SYRUP,HYDROXYZINE HYDROCHLORIDE,chlorpromazine hydrochloride tablet,4.73720645904541,Phenothiazine Derivative,NEURO CNS,Sleepiness ; Orthostatic hypotension (sudden lowering of blood pressure on standing) ; Dryness in mouth ; Abnormality of voluntary movements ; Weight gain ; Increased prolactin level in blood ; Urinary retention ; Constipation ; Muscle stiffness,Clozine 100mg Tablet ; Prozine 100mg Tablet ; Sun Prazin   100mg Tablet ; Zinetil 100mg Tablet ; Chlopro 100mg Tablet,Treatment of Schizophrenia ; Treatment of Mania ; Treatment of Anxiety,hydroxyzine hydrochloride,chlorpromazine hydrochloride tablet,50.0,Medium
ATARAX TABLETS 10 MG,HYDROXYZINE HYDROCHLORIDE,chlorpromazine hydrochloride tablet,4.73720645904541,Phenothiazine Derivative,NEURO CNS,Sleepiness ; Orthostatic hypotension (sudden lowering of blood pressure on standing) ; Dryness in mouth ; Abnormality of voluntary movements ; Weight gain ; Increased prolactin level in blood ; Urinary retention ; Constipation ; Muscle stiffness,Clozine 100mg Tablet ; Prozine 100mg Tablet ; Sun Prazin   100mg Tablet ; Zinetil 100mg Tablet ; Chlopro 100mg Tablet,Treatment of Schizophrenia ; Treatment of Mania ; Treatment of Anxiety,hydroxyzine hydrochloride,chlorpromazine hydrochloride tablet,50.0,Medium
ATARAX TABLETS 25 MG,HYDROXYZINE HYDROCHLORIDE,chlorpromazine hydrochloride tablet,4.73720645904541,Phenothiazine Derivative,NEURO CNS,Sleepiness ; Orthostatic hypotension (sudden lowering of blood pressure on standing) ; Dryness in mouth ; Abnormality of voluntary movements ; Weight gain ; Increased prolactin level in blood ; Urinary retention ; Constipation ; Muscle stiffness,Clozine 100mg Tablet ; Prozine 100mg Tablet ; Sun Prazin   100mg Tablet ; Zinetil 100mg Tablet ; Chlopro 100mg Tablet,Treatment of Schizophrenia ; Treatment of Mania ; Treatment of Anxiety,hydroxyzine hydrochloride,chlorpromazine hydrochloride tablet,50.0,Medium
BUSCOPAN TABLETS 10MG,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
DEFOPAN 5MG-5ML SYRUP,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
HOLOPON TAB 1MG,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
HYOPAN SYRUP 5 MG-5 ML,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
NOSPASM 10 MG TAB,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SCOPINAL 20MG AMPOULE,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SCOPINAL 5MG-5ML SYRUP,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SCOPINAL TAB 10MG,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SPASMO- H 10MG FILM COATED TABLETS,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SPASMONORE SUPP.ADULT,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SPASMONORE SUPP.CHILD 7.5MG,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SPASMONORE TAB 10MG,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SPASMOPAN 10MG TAB.,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
SPASMOPAN 20MG AMP.,HYOSCINE BUTYLBROMIDE,hyoscine bromide 20mg injection,1.8996050357818604,Scopolamine Alkaloid,GASTRO INTESTINAL,Blurred vision ; Increased heart rate ; Dryness in mouth ; Diarrhea ; Dilatation of pupil,Hyoswift 20mg Injection ; Hyospan 20mg Injection ; Cholipan 20mg Injection ; Hyosil 20mg Injection ; Hyopil 20mg Injection,Treatment of Pain due to smooth muscle spasm ; Treatment of Irritable bowel syndrome,hyoscine butylbromide,hyoscine bromide 20mg injection,61.53846153846154,Medium
COLIRCUSI VIRUCIDE 0.2%,IDOXURIDINE,idoxine powder,1.3531842231750488,Iodine derivative,DERMA,Pain ; Swelling,Addex Powder ; Cadomer Antimicrobial Powder,Leg ulcers ; Diabetic ulcers,idoxuridine,idoxine powder,56.00000000000001,Medium
IMATINIB GRINDEKS 100MG CAPSULE,IMATINIB,imatinib 400 tablet,6.256164073944092,Benzanilides Derivative,ANTI NEOPLASTICS,"Edema (swelling) ; Nausea ; Vomiting ; Muscle cramp ; Musculoskeletal (bone, muscle or joint) pain ; Diarrhea ; Rash ; Fatigue ; Abdominal pain",Chemotinib 400mg Tablet ; Imatib 400 Tablet ; Veenat 400 Tablet ; Imanib 400mg Tablet ; Imat 400 Tablet,Blood cancer (Chronic myeloid leukaemia) ; Blood cancer (Acute lymphocytic leukemia) ; Gastrointestinal stromal tumour,imatinib,imatinib 400 tablet,59.25925925925925,Medium
CONFORTID 25MG CAPS,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
CONFORTID 50MG SUPPOSITORY,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
CONFORTID INJ I.V 50MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
CONFORTID SUPPOSITORIES 100 MG.,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
CONFORTID SYRUP 5MG-ML,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOCID,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOCID 100 MG SUPP,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOCID 100MG SUPPOSITORIES,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOCID 25,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOGESIC CAP 25MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOMETHACIN CAPS 25MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOMIN 100MG SUPP,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
INDOMIN CAP 25MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
METHACIN CAPS. 25MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
METHACIN SUPP. 100 MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
ROTHACIN 100MG SUPPOSITORIES,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
ROTHACIN CAPS 25 MG,INDOMETACIN,indomethacin 25mg tablet sr,3.424088478088379,Indazole Derivatives,PAIN ANALGESICS,Visual disturbance ; Vomiting ; Stomach pain/epigastric pain ; Nausea ; Indigestion ; Dizziness ; Drowsiness ; Visual disorder,,Pain relief,indometacin,indomethacin 25mg tablet sr,57.89473684210527,Medium
I.N.H,ISONIAZID,isoniazid 300mg tablet,6.854250907897949,Nicotinic acid derivatives,ANTI INFECTIVES,Peripheral neuropathy (tingling and numbness of feet and hand) ; Hepatitis (viral infection of liver) ; Skin rash ; Itching ; Dizziness ; Lethargy,Lup Inh 300mg Tablet ; Isonij 300mg Tablet ; Solonex Tablet ; Iso 300mg Tablet ; Isonex 300mg Tablet,Tuberculosis (TB),isoniazid,isoniazid 300mg tablet,58.06451612903225,Medium
ISONIAZID 100MG TABLET,ISONIAZID,isoniazid 300mg tablet,6.854250907897949,Nicotinic acid derivatives,ANTI INFECTIVES,Peripheral neuropathy (tingling and numbness of feet and hand) ; Hepatitis (viral infection of liver) ; Skin rash ; Itching ; Dizziness ; Lethargy,Lup Inh 300mg Tablet ; Isonij 300mg Tablet ; Solonex Tablet ; Iso 300mg Tablet ; Isonex 300mg Tablet,Tuberculosis (TB),isoniazid,isoniazid 300mg tablet,58.06451612903225,Medium
ISONIAZID 300MG TABLET,ISONIAZID,isoniazid 300mg tablet,6.854250907897949,Nicotinic acid derivatives,ANTI INFECTIVES,Peripheral neuropathy (tingling and numbness of feet and hand) ; Hepatitis (viral infection of liver) ; Skin rash ; Itching ; Dizziness ; Lethargy,Lup Inh 300mg Tablet ; Isonij 300mg Tablet ; Solonex Tablet ; Iso 300mg Tablet ; Isonex 300mg Tablet,Tuberculosis (TB),isoniazid,isoniazid 300mg tablet,58.06451612903225,Medium
RIMIFON 100MG TAB,ISONIAZID,isoniazid 300mg tablet,6.854250907897949,Nicotinic acid derivatives,ANTI INFECTIVES,Peripheral neuropathy (tingling and numbness of feet and hand) ; Hepatitis (viral infection of liver) ; Skin rash ; Itching ; Dizziness ; Lethargy,Lup Inh 300mg Tablet ; Isonij 300mg Tablet ; Solonex Tablet ; Iso 300mg Tablet ; Isonex 300mg Tablet,Tuberculosis (TB),isoniazid,isoniazid 300mg tablet,58.06451612903225,Medium
ISOBIDE,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
ISOKET 0.1% AMPOULE,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
ISORDIL 10 MG. TABLETS,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
ISORDIL SUBLINGUAL 5 MG. TAB.,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
WESORBIDE 10MG TAB,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
WESORBIDE 2.5MG SUBLINGUAL TAB,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
WESORBIDE 20MG TAB,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
WESORBIDE 5MG S-L TAB,ISOSORBIDE DINITRATE,davaindia isosorbide mononitrate 20mg tablet,2.0387425422668457,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide dinitrate,davaindia isosorbide mononitrate 20mg tablet,50.0,Medium
IMDUR 60MG DURULES,ISOSORBIDE MONONITRATE,genericart isosorbide mononitrate  20mg tablet,7.544729232788086,Nitrates,CARDIAC,"Headache ; Dizziness ; Flushing (sense of warmth in the face, ears, neck and trunk) ; Orthostatic hypotension (sudden lowering of blood pressure on standing)",Isonorm 20 Tablet ; Isomin 20mg Tablet ; Solotrate 20mg Tablet ; Monocard 20mg Tablet ; Axicard 20mg Tablet,Prevention of Angina (heart-related chest pain),isosorbide mononitrate,genericart isosorbide mononitrate  20mg tablet,65.67164179104478,Medium
AVORAL 2% SHAMPOO,KETOCONAZOLE,davaindia ketoconazole 2% cream,5.714353084564209,Azole derivatives {Imidazoles},DERMA,"Skin peeling ; Application site reactions (burning, irritation, itching and redness) ; Nausea ; Vomiting ; Abdominal pain ; Increased liver enzymes ; Application site redness ; Itching ; Diarrhea ; Abnormal liver function tests ; Adrenal insufficiency ; Application site burning",Ketoberg Cream ; Ketostar Cream ; Uroketo 2% Cream ; Ketoscalp Cream ; Konaz Antifungal Cream,Fungal skin infections,ketoconazole,davaindia ketoconazole 2% cream,55.81395348837209,Medium
